"FuMOD" "Fu"
"Gene04739" "Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)"
"Gene04740" "Glutaredoxin"
"Gene04741" "Glutaredoxin 2"
"Gene04742" "Glutaredoxin 3"
"Gene04743" "Glutaredoxin 3 (Grx2)"
"Gene04744" "Glutaredoxin 3 (Grx3)"
"Gene04745" "Glutaredoxin-related protein"
"Gene04746" "glutaryl 7-ACA acylase precursor - Bacillus laterosporus"
"Gene04747" "Glutaryl-CoA dehydrogenase (EC 1.3.8.6)"
"Gene04748" "Glutathione peroxidase (EC 1.11.1.9)"
"Gene04749" "Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15)"
"Gene04750" "Glutathione reductase (EC 1.8.1.7)"
"Gene04751" "Glutathione S-transferase"
"Gene04752" "Glutathione S-transferase (EC 2.5.1.18)"
"Gene04753" "Glutathione S-transferase family protein"
"Gene04754" "Glutathione S-transferase, N-terminal domain"
"Gene04755" "Glutathione S-transferase, omega (EC 2.5.1.18)"
"Gene04756" "Glutathione S-transferase, unnamed subgroup (EC 2.5.1.18)"
"Gene04757" "Glutathione S-transferase, unnamed subgroup 2 (EC 2.5.1.18)"
"Gene04758" "Glutathione S-transferase?"
"Gene04759" "glutathione S-transferase( EC:2.5.1.18 )"
"Gene04760" "Glutathione S-transferase( EC:2.5.1.18 )"
"Gene04761" "glutathione S-transfersae-related protein"
"Gene04762" "Glutathione synthetase (EC 6.3.2.3)"
"Gene04763" "Glutathione transferase (EC 2.5.1.18)"
"Gene04764" "Glutathione-dependent formaldehyde dehydrogenase"
"Gene04765" "Glutathione-dependent formaldehyde-activating enzyme (EC 4.4.1.22)"
"Gene04766" "glutathione-dependent formaldehyde-activating, GFA"
"Gene04767" "Glutathione-independent formaldehyde dehydrogenase (EC 1.2.1.46)"
"Gene04768" "Glutathione-regulated potassium-efflux system ancillary protein KefG"
"Gene04769" "Glutathione-regulated potassium-efflux system protein KefB"
"Gene04770" "Glyceraldehyde-3-phosphate dehydrogenase, putative"
"Gene04771" "Glyceraldehyde-3-phosphate ketol-isomerase (EC 5.3.1.1)"
"Gene04772" "Glycerate dehydrogenase (EC 1.1.1.29)"
"Gene04773" "Glycerate kinase (EC 2.7.1.31)"
"Gene04774" "Glycerol ABC transporter, ATP-binding protein GlpS"
"Gene04775" "Glycerol ABC transporter, ATP-binding protein GlpT"
"Gene04776" "Glycerol ABC transporter, permease protein GlpP"
"Gene04777" "Glycerol ABC transporter, permease protein GlpQ"
"Gene04778" "Glycerol ABC transporter, substrate-binding protein GlpV"
"Gene04779" "Glycerol dehydrogenase (EC 1.1.1.6)"
"Gene04780" "Glycerol kinase (EC 2.7.1.30)"
"Gene04781" "Glycerol operon regulatory protein"
"Gene04782" "Glycerol transport-related protein GlpU"
"Gene04783" "Glycerol uptake facilitator protein"
"Gene04784" "Glycerol-1-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.261)"
"Gene04785" "Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)"
"Gene04786" "Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)"
"Gene04787" "Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)"
"Gene04788" "Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)"
"Gene04789" "Glycerol-3-phosphate ABC transporter, substrate-binding protein UgpB"
"Gene04790" "Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)"
"Gene04791" "Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)"
"Gene04792" "Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)"
"Gene04793" "Glycerol-3-phosphate dehydrogenase related protein"
"Gene04794" "Glycerol-3-phosphate regulon repressor GlpR"
"Gene04795" "Glycerol-3-phosphate regulon repressor, DeoR family"
"Gene04796" "Glycerol-3-phosphate transporter"
"Gene04797" "Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)"
"Gene04798" "Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46) periplasmic (secreted in GramPositives)"
"Gene04799" "Glycine amidinotransferase (EC 2.1.4.1)"
"Gene04800" "Glycine betaine ABC transporter, ATP-binding protein OtaA"
"Gene04801" "Glycine betaine ABC transporter, permease protein OtaB"
"Gene04802" "Glycine betaine ABC transporter, substrate-binding protein OtaC"
"Gene04803" "Glycine betaine/L-proline transport ATP-binding protein ProV (TC 3.A.1.12.1)"
"Gene04804" "Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)"
"Gene04805" "Glycine betaine/L-proline transport system permease protein ProW (TC 3.A.1.12.1)"
"Gene04806" "Glycine cleavage system H protein"
"Gene04807" "Glycine cleavage system transcriptional activator"
"Gene04808" "Glycine cleavage system transcriptional activator GcvA"
"Gene04809" "Glycine cleavage system transcriptional antiactivator GcvR"
"Gene04810" "Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)"
"Gene04811" "Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)"
"Gene04812" "Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)"
"Gene04813" "Glycine oxidase ThiO (EC 1.4.3.19)"
"Gene04814" "Glycine-rich cell wall structural protein 1.8 precursor"
"Gene04815" "glycine-rich protein"
"Gene04816" "Glycine/D-amino acid oxidases (deaminating)"
"Gene04817" "Glycogen debranching enzyme"
"Gene04818" "Glycogen debranching enzyme (EC 3.2.1.-)"
"Gene04819" "Glycogen phosphorylase (EC 2.4.1.1)"
"Gene04820" "Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)"
"Gene04821" "Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE"
"Gene04822" "Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF"
"Gene04823" "Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD"
"Gene04824" "Glycolate utilization operon transcriptional activator GlcC"
"Gene04825" "Glycosaminoglycan attachment site"
"Gene04826" "Glycosidases"
"Gene04827" "Glycoside Hydrolase family 5"
"Gene04828" "glycoside hydrolase, family 16"
"Gene04829" "Glycosyl hydrolase family 1"
"Gene04830" "Glycosyl hydrolase family 1 / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)"
"Gene04831" "Glycosyl transferase"
"Gene04832" "glycosyl transferase family 2"
"Gene04833" "glycosyl transferase family protein"
"Gene04834" "glycosyl transferase group 1"
"Gene04835" "Glycosyl transferase-like protein"
"Gene04836" "glycosyl transferase, family 2"
"Gene04837" "Glycosyl transferase, family 2"
"Gene04838" "Glycosyl transferase, family 2?"
"Gene04839" "glycosyl transferase, family 8"
"Gene04840" "glycosyl transferase, group 1"
"Gene04841" "Glycosyl transferase, group 1"
"Gene04842" "Glycosyl transferase, group 1 family protein"
"Gene04843" "glycosyl transferase, group 1/2 family protein"
"Gene04844" "Glycosyl transferase, group 2 family"
"Gene04845" "glycosyl transferase, group 2 family protein"
"Gene04846" "Glycosyl transferase, group 2 family protein"
"Gene04847" "glycosyl transferase, group 2 family protein, putative"
"Gene04848" "glycosyl transferase, WecB/TagA/CpsF family"
"Gene04849" "Glycosyl transferase, WecB/TagA/CpsF family"
"Gene04850" "glycosyltransferase"
"Gene04851" "Glycosyltransferase"
"Gene04852" "Glycosyltransferase (EC 2.4.1.-)"
"Gene04853" "Glycosyltransferase PglI (EC 2.4.1.-)"
"Gene04854" "glycosyltransferase sugar-binding region containing DXD motif"
"Gene04855" "Glycosyltransferase SypQ"
"Gene04856" "Glycosyltransferase, family 4"
"Gene04857" "glycosyltransferase, MGT family"
"Gene04858" "glycosyltransferase, SUCCINOGLYCAN BIOSYNTHESIS PROTEIN EXOL"
"Gene04859" "glycosyltransferase( EC:2.4.- )"
"Gene04860" "glycosyltransferase( EC:2.4.1.- )"
"Gene04861" "Glycosyltransferases involved in cell wall biogenesis"
"Gene04862" "Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)"
"Gene04863" "Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)"
"Gene04864" "Glyoxalase"
"Gene04865" "Glyoxalase family protein"
"Gene04866" "Glyoxalase/bleomycin resistance protein/dioxygenase"
"Gene04867" "Glyoxalase/Bleomycin resistance protein/dioxygenase domain"
"Gene04868" "Glyoxylase family protein"
"Gene04869" "Glyoxylate carboligase (EC 4.1.1.47)"
"Gene04870" "Glyoxylate reductase (EC 1.1.1.79) @ Glyoxylate reductase (EC 1.1.1.26) @ Hydroxypyruvate reductase (EC 1.1.1.81)"
"Gene04871" "GMP reductase (EC 1.7.1.7)"
"Gene04872" "GMP synthase"
"Gene04873" "GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)"
"Gene04874" "GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"
"Gene04875" "GMP synthase, PP-ATPase domain/subunit"
"Gene04876" "GNAT family acetyltransferase PA5433"
"Gene04877" "GNAT family acetyltransferase VC2332"
"Gene04878" "GNAT family acetyltransferase YjcF"
"Gene04879" "gnl|WGS:AAAB|agCP8781|gb|EAA14405"
"Gene04880" "gp11"
"Gene04881" "gp4"
"Gene04882" "GreA/GreB family elongation factor"
"Gene04883" "GRound-Like (grd related)"
"Gene04884" "group 1 glycosyl transferase"
"Gene04885" "Growth inhibitor"
"Gene04886" "Gsr3505 protein"
"Gene04887" "GTP 3',8-cyclase (EC 4.1.99.22)"
"Gene04888" "GTP cyclohydrolase I (EC 3.5.4.16) type 1"
"Gene04889" "GTP cyclohydrolase II homolog"
"Gene04890" "GTP pyrophosphokinase (EC 2.7.6.5)"
"Gene04891" "GTP-binding and nucleic acid-binding protein YchF"
"Gene04892" "GTP-binding protein"
"Gene04893" "GTP-binding protein EngA"
"Gene04894" "GTP-binding protein EngB"
"Gene04895" "GTP-binding protein Era"
"Gene04896" "GTP-binding protein HflX"
"Gene04897" "GTP-binding protein Obg"
"Gene04898" "GTP-binding protein TypA/BipA"
"Gene04899" "GTPase (EC 3.6.1.-)"
"Gene04900" "Guanidinobutyrase (EC 3.5.3.7)"
"Gene04901" "Guanine deaminase"
"Gene04902" "Guanine deaminase (EC 3.5.4.3)"
"Gene04903" "Guanine deaminase (EC 3.5.4.3); Hydroxydechloroatrazine ethylaminohydrolase (EC 3.5.99.3)"
"Gene04904" "Guanine-hypoxanthine permease"
"Gene04905" "Guanosine-3',5'-bis(Diphosphate) 3'- pyrophosphohydrolase"
"Gene04906" "Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)"
"Gene04907" "Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II"
"Gene04908" "Guanylate cyclase-related protein"
"Gene04909" "Guanylate kinase (EC 2.7.4.8)"
"Gene04910" "GumL protein"
"Gene04911" "H(+)/Cl(-) exchange transporter ClcA"
"Gene04912" "HAD superfamily protein involved in N-acetyl-glucosamine catabolism"
"Gene04913" "HAD-superfamily hydrolase, subfamily IA, variant 1"
"Gene04914" "HAD-superfamily hydrolase, subfamily IA, variant 1 family protein"
"Gene04915" "HAD-superfamily phosphatase, subfamily IIIC"
"Gene04916" "HAD-superfamily subfamily IIA hydrolase, hypothetical 2"
"Gene04917" "haloacid dehalogenase"
"Gene04918" "Haloacid dehalogenase-like hydrolase"
"Gene04919" "haloacid dehalogenase, type II"
"Gene04920" "Haloacid dehalogenase, type II (EC 3.8.1.2)"
"Gene04921" "Halogenase"
"Gene04922" "HAMP domain protein"
"Gene04923" "HD-hydrolase domain"
"Gene04924" "hdeA protein"
"Gene04925" "HDED PROTEIN"
"Gene04926" "HDIG domain protein"
"Gene04927" "Head-tail preconnector protein GP5"
"Gene04928" "HEAT repeat-containing protein"
"Gene04929" "Heat shock protein 10 kDa family chaperone GroES"
"Gene04930" "Heat shock protein 60 kDa family chaperone GroEL"
"Gene04931" "heat shock protein DnaJ-like"
"Gene04932" "Heat shock protein G homolog"
"Gene04933" "Heat shock protein GrpE"
"Gene04934" "heat shock protein Hsp20"
"Gene04935" "Heat shock protein Hsp20"
"Gene04936" "Heat shock protein HtpX"
"Gene04937" "Heat shock protein HtpX (EC 3.4.24.-)"
"Gene04938" "Heat-inducible transcription repressor HrcA"
"Gene04939" "Heavy metal resistance transcriptional regulator HmrR"
"Gene04940" "Heavy metal RND efflux outer membrane protein, CzcC family"
"Gene04941" "Helicase"
"Gene04942" "helicase domain protein"
"Gene04943" "Helicase domain protein"
"Gene04944" "Helicase loader DnaI"
"Gene04945" "Helicase PriA essential for oriC/DnaA-independent DNA replication"
"Gene04946" "Helicase subunit of the DNA excision repair complex"
"Gene04947" "helicase-like"
"Gene04948" "Helicase-related protein"
"Gene04949" "Helicase, C-terminal"
"Gene04950" "Helicase, C-terminal:DEAD/DEAH box helicase, N-terminal"
"Gene04951" "Helicase, C-terminal:Type III restriction enzyme, res subunit:DEAD/DEAH box helicase, N-terminal"
"Gene04952" "Helicase, SNF2/RAD54 family"
"Gene04953" "Helix-turn-helix motif"
"Gene04954" "helix-turn-helix protein, CopG"
"Gene04955" "helix-turn-helix, Fis-type"
"Gene04956" "Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA"
"Gene04957" "Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB"
"Gene04958" "Heme oxygenase HemO, associated with heme uptake"
"Gene04959" "Heme-binding SCHIC domain protein, putative oxygen sensor"
"Gene04960" "Heme-degrading monooxygenase IsdG (EC 1.14.99.3)"
"Gene04961" "Heme-degrading monooxygenase, staphylobilin-producing (EC 1.14.99.48)"
"Gene04962" "Hemin ABC transporter, permease protein"
"Gene04963" "Hemin transport protein HmuS"
"Gene04964" "Hemin uptake protein HemP/HmuP"
"Gene04965" "HemK family methylase mlr6740"
"Gene04966" "HemK family modification methylase PA2179"
"Gene04967" "Hemoglobin-like protein HbO"
"Gene04968" "Hemolysin activation/secretion protein"
"Gene04969" "hemolysin-type calcium binding protein"
"Gene04970" "Hemolysin-type calcium-binding region"
"Gene04971" "Hemolysins and related proteins containing CBS domains"
"Gene04972" "hemophilus-specific uncharacterized"
"Gene04973" "HEN1 C-terminal domain; double-stranded RNA 3'-methylase"
"Gene04974" "Heparinase II/III-like"
"Gene04975" "Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
"Gene04976" "Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
"Gene04977" "hexapeptide transferase family protein"
"Gene04978" "Hexapeptide transferase family protein"
"Gene04979" "Hexose-phosphate uptake signal transduction histidine-protein kinase/phosphatase UhpB"
"Gene04980" "Hexuronate transporter"
"Gene04981" "HflC protein"
"Gene04982" "HflK protein"
"Gene04983" "HhH-GPD base excision DNA repair family protein; Probable 3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase"
"Gene04984" "hicA protein"
"Gene04985" "HicA protein"
"Gene04986" "HicA-related protein"
"Gene04987" "HicB protein"
"Gene04988" "HigA protein (antitoxin to HigB)"
"Gene04989" "HigB toxin protein"
"Gene04990" "High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)"
"Gene04991" "High-affinity carbon uptake protein Hat/HatR"
"Gene04992" "High-affinity choline uptake protein BetT"
"Gene04993" "High-affinity Fe2+/Pb2+ permease precursor"
"Gene04994" "High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1)"
"Gene04995" "High-affnity carbon uptake protein Hat/HatR"
"Gene04996" "HipA protein"
"Gene04997" "HIPA PROTEIN"
"Gene04998" "HipB protein"
"Gene04999" "Hippurate hydrolase (EC 3.5.1.32)"
"Gene05000" "His-Xaa-Ser system radical SAM maturase HxsB"
"Gene05001" "His-Xaa-Ser system radical SAM maturase HxsC"
"Gene05002" "Histidine ABC transporter, ATP-binding protein"
"Gene05003" "Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)"
"Gene05004" "Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)"
"Gene05005" "Histidine ABC transporter, permease protein"
"Gene05006" "Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)"
"Gene05007" "Histidine ABC transporter, substrate-binding protein"
"Gene05008" "Histidine ammonia-lyase (EC 4.3.1.3)"
"Gene05009" "Histidine kinase"
"Gene05010" "Histidine kinase/response regulator hybrid protein"
"Gene05011" "Histidine protein kinase"
"Gene05012" "Histidine utilization repressor"
"Gene05013" "Histidine-rich glycoprotein precursor"
"Gene05014" "Histidinol dehydrogenase (EC 1.1.1.23)"
"Gene05015" "Histidinol-phosphatase [alternative form] (EC 3.1.3.15)"
"Gene05016" "Histidinol-phosphate aminotransferase (EC 2.6.1.9)"
"Gene05017" "Histidyl-tRNA synthetase (EC 6.1.1.21)"
"Gene05018" "Histidyl-tRNA synthetase-like protein CC_3512"
"Gene05019" "Histone acetyltransferase HPA2 and related acetyltransferases"
"Gene05020" "HlpA protein"
"Gene05021" "HlyB/MsbA family ABC transporter"
"Gene05022" "HlyD family secretion protein"
"Gene05023" "HlyD-like membrane fusion protein YhiI"
"Gene05024" "HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)"
"Gene05025" "Hnh endonuclease"
"Gene05026" "HNH endonuclease"
"Gene05027" "HNH endonuclease family protein"
"Gene05028" "HNH homing endonuclease"
"Gene05029" "HNH homing endonuclease # Phage intron"
"Gene05030" "HNH homing endonuclease # Phage intron # Pham154"
"Gene05031" "Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)"
"Gene05032" "Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)"
"Gene05033" "Holliday junction DNA helicase RuvA"
"Gene05034" "Holliday junction resolvase"
"Gene05035" "Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)"
"Gene05036" "Homocitrate synthase (EC 2.3.3.14)"
"Gene05037" "homocysteine S-methyltransferase"
"Gene05038" "Homocysteine S-methyltransferase (EC 2.1.1.10)"
"Gene05039" "Homodimeric efflux ABC transporter, ATP-binding/permease protein"
"Gene05040" "Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
"Gene05041" "Homolog of fucose/glucose/galactose permeases"
"Gene05042" "homologue of Rhodobacter capsulatus gene transfer agent (GTA) orfg6 (21% idenity)"
"Gene05043" "Homoprotocatechuate degradative operon repressor"
"Gene05044" "Homoserine dehydrogenase (EC 1.1.1.3)"
"Gene05045" "Homoserine dehydrogenase (EC 1.1.1.3); Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)"
"Gene05046" "Homoserine kinase (EC 2.7.1.39)"
"Gene05047" "Homoserine O-acetyltransferase (EC 2.3.1.31)"
"Gene05048" "Homoserine O-succinyltransferase (EC 2.3.1.46)"
"Gene05049" "Homoserine/homoserine lactone efflux protein"
"Gene05050" "HOMOSERINE/HOMOSERINE LACTONE EFFLUX PROTEIN"
"Gene05051" "Homospermidine synthase (EC 2.5.1.44)"
"Gene05052" "Homospermidine synthase (EC 2.5.1.44) (HSS)"
"Gene05053" "Homospermidine synthase( EC:2.5.1.44 )"
"Gene05054" "Hopanoid 2-methyltransferase"
"Gene05055" "Hopanoid-associated RND transporter, HpnN"
"Gene05056" "Hopanoid-associated sugar epimerase HpnA"
"Gene05057" "Hopene-associated glycosyltransferase HpnB"
"Gene05058" "HoxF-like protein"
"Gene05059" "HoxN/HupN/NixA family nickel/cobalt transporter"
"Gene05060" "HPr kinase"
"Gene05061" "HPr kinase/phosphorylase"
"Gene05062" "HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)"
"Gene05063" "Hpt domain"
"Gene05064" "Hpt domain protein"
"Gene05065" "HTH-type transcriptional regulator BetI"
"Gene05066" "HTH-type transcriptional regulator glxA"
"Gene05067" "HTH-type transcriptional regulator PetP"
"Gene05068" "HtrA protease/chaperone protein"
"Gene05069" "HtrA protease/chaperone protein / Serine protease (Protease DO) (EC 3.4.21.-)"
"Gene05070" "HupE-UreJ family metal transporter"
"Gene05071" "Hydantoin permease"
"Gene05072" "Hydantoin racemase (EC 5.1.99.-)"
"Gene05073" "Hydantoin racemase (EC 5.1.99.5)"
"Gene05074" "Hydantoinase/oxoprolinase family protein"
"Gene05075" "Hydrogen peroxide-inducible genes activator"
"Gene05076" "Hydrogen peroxide-inducible genes activator => OxyR"
"Gene05077" "Hydrogenase assembly protein HoxX"
"Gene05078" "Hydrogenase maturation factor"
"Gene05079" "Hydrogenase maturation protease"
"Gene05080" "Hydrogenase transcriptional regulatory protein HoxA"
"Gene05081" "Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing) (EC 6.3.5.9)"
"Gene05082" "Hydrolase"
"Gene05083" "hydrolase (metallo-beta-lactamase superfamily)"
"Gene05084" "Hydrolase in polyol utilization gene cluster, haloacid dehalogenase-like family"
"Gene05085" "Hydrolase of unknown specificity RsbQ, part of a novel [RsbQ - PAS domain] bacterial sensing module"
"Gene05086" "Hydrolase PA4440, alpha/beta fold family"
"Gene05087" "Hydrolase SMc00528, alpha/beta fold family"
"Gene05088" "HYDROLASE-RELATED PROTEIN"
"Gene05089" "hydrolase, alpha/beta fold family"
"Gene05090" "Hydrolase, alpha/beta fold family"
"Gene05091" "Hydrolase, alpha/beta fold family protein, At1g52510/AT4G12830 homolog 2"
"Gene05092" "Hydrolase, alpha/beta fold family protein, At1g52510/AT4G12830 homolog, group3"
"Gene05093" "hydrolase, CocE/NonD family"
"Gene05094" "Hydrolase, HAD superfamily"
"Gene05095" "hydrolase, haloacid dehalogenase-like family"
"Gene05096" "Hydrolase, haloacid dehalogenase-like family"
"Gene05097" "hydrolase, haloacid dehalogenase-like family protein"
"Gene05098" "Hydrolase, haloacid delahogenase-like family"
"Gene05099" "Hydrolase, isochorismatase family"
"Gene05100" "hydrolase, putative"
"Gene05101" "Hydrolases of the alpha/beta superfamily"
"Gene05102" "Hydroxyacylglutathione hydrolase (EC 3.1.2.6)"
"Gene05103" "Hydroxycarboxylate dehydrogenase (NADP+) HcxB"
"Gene05104" "Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"Gene05105" "hydroxylase"
"Gene05106" "Hydroxymethylglutaryl-CoA lyase"
"Gene05107" "Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)"
"Gene05108" "Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)"
"Gene05109" "Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)"
"Gene05110" "Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10) / conserved protein associated with acetyl-CoA C-acyltransferase"
"Gene05111" "Hydroxymethylpyrimidine ABC transporter, ATP-binding protein"
"Gene05112" "Hydroxymethylpyrimidine ABC transporter, ATPase component"
"Gene05113" "Hydroxymethylpyrimidine ABC transporter, substrate-binding component"
"Gene05114" "Hydroxymethylpyrimidine ABC transporter, transmembrane component"
"Gene05115" "Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)"
"Gene05116" "Hydroxyneurosporene methyltransferase (EC 2.1.1.210)"
"Gene05117" "Hydroxypyruvate isomerase (EC 5.3.1.22)"
"Gene05118" "Hydroxypyruvate reductase (EC 1.1.1.81)"
"Gene05119" "Hyphotheical protein"
"Gene05120" "hypothetical 16 Kd protein; partially homologous to Y4jB and Y4rG"
"Gene05121" "Hypothetical ABC transport system, periplasmic component"
"Gene05122" "hypothetical Cytosolic Protein"
"Gene05123" "Hypothetical domain or wrong start / Epoxyqueuosine reductase (EC 1.17.99.6) QueG"
"Gene05124" "hypothetical genomic island protein"
"Gene05125" "Hypothetical glycine rich membrane protein DUF1517"
"Gene05126" "hypothetical malic enzyme protein"
"Gene05127" "hypothetical membrane associated protein"
"Gene05128" "hypothetical membrane protein"
"Gene05129" "Hypothetical membrane protein Rv2120c"
"Gene05130" "hypothetical membrane-anchored protein"
"Gene05131" "hypothetical metabolite transport protein"
"Gene05132" "Hypothetical metal-binding enzyme, YcbL homolog"
"Gene05133" "Hypothetical nudix hydrolase YeaB"
"Gene05134" "Hypothetical Nudix-like regulator"
"Gene05135" "hypothetical oxidoreductase related to N-acetylglucosamine utilization"
"Gene05136" "hypothetical phosphosugar isomerases"
"Gene05137" "hypothetical protein"
"Gene05138" "hypothetical protein AF1210"
"Gene05139" "hypothetical protein APECO1_2271"
"Gene05140" "hypothetical protein bll5443"
"Gene05141" "Hypothetical protein COG3496"
"Gene05142" "Hypothetical protein DUF1470, with CGNR zinc finger motif"
"Gene05143" "Hypothetical protein DUF2948"
"Gene05144" "hypothetical protein formerly called flagellar hook-length control protein FliK"
"Gene05145" "hypothetical protein Francci3_0125"
"Gene05146" "Hypothetical protein HNE_2486"
"Gene05147" "Hypothetical protein in cluster with dihydroxyacetone kinase in Rhizobia"
"Gene05148" "Hypothetical protein in cluster with mesaconyl-CoA hydratase"
"Gene05149" "Hypothetical protein involved in heavy metal export"
"Gene05150" "Hypothetical protein Oant_0359"
"Gene05151" "Hypothetical protein of L-Asparaginase type 2-like superfamily"
"Gene05152" "Hypothetical protein PA1329"
"Gene05153" "Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)"
"Gene05154" "hypothetical protein PA3071"
"Gene05155" "hypothetical protein related to DNA replication/repair"
"Gene05156" "hypothetical protein that often co-occurs with aconitase"
"Gene05157" "Hypothetical protein TTHA0813"
"Gene05158" "Hypothetical protein VC0266 (sugar utilization related?)"
"Gene05159" "Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC"
"Gene05160" "hypothetical protein-putative transmembrane protein"
"Gene05161" "Hypothetical protein, AT1G64980 homolog"
"Gene05162" "hypothetical protein, not 6-phosphogluconolactonase"
"Gene05163" "hypothetical protein; putative lipoprotein"
"Gene05164" "hypothetical protein; putative signal peptide"
"Gene05165" "hypothetical protein; Some similarities with formyltransferase"
"Gene05166" "Hypothetical radical SAM family enzyme in interesting gene cluster"
"Gene05167" "HYPOTHETICAL TRANSCRIPTION REGULATOR PROTEIN"
"Gene05168" "Hypothetical transmembrane iron-regulated protein"
"Gene05169" "HYPOTHETICAL TRANSMEMBRANE PROTEIN"
"Gene05170" "Hypothetical transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog"
"Gene05171" "HYPOTHETICAL TRANSMEMBRANE SIGNAL PEPTIDE PROTEIN"
"Gene05172" "hypothetical transporter PduT for various metalloporphyrins"
"Gene05173" "Hypothetical with similarity to BchE, but NOT Mg-protoporphyrin monomethyl ester cyclase (anaerobic)"
"Gene05174" "Hypothetical zinc-type alcohol dehydrogenase-like protein YphC"
"Gene05175" "Hypothetical-Protein | belonging to T4-LIKE GC: 851"
"Gene05176" "Hypothetical, related to broad specificity phosphatases COG0406"
"Gene05177" "HYPOTHETICAL/UNKNOWN PROTEIN"
"Gene05178" "Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)"
"Gene05179" "IAA acetyltransferase (EC 2.3.1.-)"
"Gene05180" "ice nucleation protein homolog"
"Gene05181" "IcmB (DotO) protein"
"Gene05182" "IcmL (DotI) protein"
"Gene05183" "IcmL protein"
"Gene05184" "Imidazole glycerol phosphate synthase amidotransferase subunit HisH"
"Gene05185" "Imidazole glycerol phosphate synthase cyclase subunit"
"Gene05186" "Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)"
"Gene05187" "Imidazolonepropionase (EC 3.5.2.7)"
